Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,250826,8/26/2025,088691,CMX ,01,088 ,443760,9620,51948,45622,254259,17666,175494,33577,28754,100273,27879,9619,387048,423702,56712,20058,443760,9620,51948,45622,254259,17666,175494,33577,28754,100273,27879,9619,387048,423702,56712,20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5219,231,2554,6015,4692,-8,2106,-2426,-24,-1616,1195,-2099,4605,3884,614,1335,100,2.2,11.7,10.3,57.3,4,39.5,7.6,6.5,22.6,6.3,2.2,87.2,95.5,12.8,4.5,100,2.2,11.7,10.3,57.3,4,39.5,7.6,6.5,22.6,6.3,2.2,87.2,95.5,12.8,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,16,14,21,26,32,112,20,43,75,38,32,273,158,316,16,14,21,26,32,112,20,43,75,38,32,273,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,29.9,30.5,49.7,19.1,29.1,28.7,48.3,19.4,29.9,30.5,49.7,19.1,29.1,28.7,48.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250819,8/19/2025,088691,CMX ,01,088 ,438541,9389,49394,39607,249567,17674,173388,36003,28778,101889,26684,11718,382443,419818,56098,18723,438541,9389,49394,39607,249567,17674,173388,36003,28778,101889,26684,11718,382443,419818,56098,18723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7611,65,320,3656,-9699,-478,-8949,1953,24,-3889,2104,-482,-10053,-6258,2442,-1353,100,2.1,11.3,9,56.9,4,39.5,8.2,6.6,23.2,6.1,2.7,87.2,95.7,12.8,4.3,100,2.1,11.3,9,56.9,4,39.5,8.2,6.6,23.2,6.1,2.7,87.2,95.7,12.8,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,14,13,18,26,31,106,25,48,87,35,35,275,164,318,14,13,18,26,31,106,25,48,87,35,35,275,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,30.9,31.7,50.8,19.8,30.1,30.2,49.1,20.1,30.9,31.7,50.8,19.8,30.1,30.2,49.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250812,8/12/2025,088691,CMX ,01,088 ,446152,9324,49074,35951,259266,18152,182337,34050,28754,105778,24580,12200,392496,426076,53656,20076,446152,9324,49074,35951,259266,18152,182337,34050,28754,105778,24580,12200,392496,426076,53656,20076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3495,-12436,-6703,-923,-13737,2711,-3967,1733,9449,-112,1753,724,-4554,-4070,1059,575,100,2.1,11,8.1,58.1,4.1,40.9,7.6,6.4,23.7,5.5,2.7,88,95.5,12,4.5,100,2.1,11,8.1,58.1,4.1,40.9,7.6,6.4,23.7,5.5,2.7,88,95.5,12,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,12,17,19,27,29,106,20,44,92,30,26,270,154,318,12,17,19,27,29,106,20,44,92,30,26,270,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,30.4,31.5,51.3,19.8,29.6,30.1,49.3,20.3,30.4,31.5,51.3,19.8,29.6,30.1,49.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250805,8/5/2025,088691,CMX ,01,088 ,449647,21760,55777,36874,273003,15441,186304,32317,19305,105890,22827,11476,397050,430146,52597,19501,449647,21760,55777,36874,273003,15441,186304,32317,19305,105890,22827,11476,397050,430146,52597,19501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4388,9466,-4687,-2275,22945,-12209,15386,-4345,-1117,-4433,1844,189,5007,2620,-619,1768,100,4.8,12.4,8.2,60.7,3.4,41.4,7.2,4.3,23.5,5.1,2.6,88.3,95.7,11.7,4.3,100,4.8,12.4,8.2,60.7,3.4,41.4,7.2,4.3,23.5,5.1,2.6,88.3,95.7,11.7,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,16,16,19,27,31,108,19,38,83,28,28,268,149,312,16,16,19,27,31,108,19,38,83,28,28,268,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,35.1,32.1,55.8,19.7,34.4,30.8,55,20.7,35.1,32.1,55.8,19.7,34.4,30.8,55,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250729,7/29/2025,088691,CMX ,01,088 ,445259,12294,60464,39149,250058,27650,170918,36662,20422,110323,20983,11287,392043,427526,53216,17733,445259,12294,60464,39149,250058,27650,170918,36662,20422,110323,20983,11287,392043,427526,53216,17733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44164,1087,-2105,5850,-14216,-4570,-23835,1843,-4849,-6873,-3109,-10138,-43328,-37144,-836,-7020,100,2.8,13.6,8.8,56.2,6.2,38.4,8.2,4.6,24.8,4.7,2.5,88,96,12,4,100,2.8,13.6,8.8,56.2,6.2,38.4,8.2,4.6,24.8,4.7,2.5,88,96,12,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,14,17,23,23,33,96,21,41,85,25,28,260,150,300,14,17,23,23,33,96,21,41,85,25,28,260,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,34.5,31,53.6,19.4,31.9,29.5,50.8,20.2,34.5,31,53.6,19.4,31.9,29.5,50.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250722,7/22/2025,088691,CMX ,01,088 ,489423,11207,62569,33299,264274,32220,194753,34819,25271,117196,24092,21425,435371,464670,54052,24753,489423,11207,62569,33299,264274,32220,194753,34819,25271,117196,24092,21425,435371,464670,54052,24753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40892,-3509,1117,-350,26673,4596,22096,-1111,2646,19626,2910,-1289,43816,35542,-2924,5350,100,2.3,12.8,6.8,54,6.6,39.8,7.1,5.2,23.9,4.9,4.4,89,94.9,11,5.1,100,2.3,12.8,6.8,54,6.6,39.8,7.1,5.2,23.9,4.9,4.4,89,94.9,11,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,14,19,18,29,33,113,20,42,90,38,34,283,170,337,14,19,18,29,33,113,20,42,90,38,34,283,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,30.3,28.1,49.3,17.5,29.8,26.4,47.4,18.1,30.3,28.1,49.3,17.5,29.8,26.4,47.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250715,7/15/2025,088691,CMX ,01,088 ,448531,14716,61452,33649,237601,27624,172657,35930,22625,97570,21182,22714,391555,429128,56976,19403,448531,14716,61452,33649,237601,27624,172657,35930,22625,97570,21182,22714,391555,429128,56976,19403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5387,1101,1025,-1710,10700,4723,7972,187,-13763,570,-1792,5809,4702,6889,685,-1502,100,3.3,13.7,7.5,53,6.2,38.5,8,5,21.8,4.7,5.1,87.3,95.7,12.7,4.3,100,3.3,13.7,7.5,53,6.2,38.5,8,5,21.8,4.7,5.1,87.3,95.7,12.7,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,15,15,17,25,29,98,22,47,91,27,27,265,152,305,15,15,17,25,29,98,22,47,91,27,27,265,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,31.8,27.9,50.1,17.3,31,25.9,48.5,18.6,31.8,27.9,50.1,17.3,31,25.9,48.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250708,7/8/2025,088691,CMX ,01,088 ,443144,13615,60427,35359,226901,22901,164685,35743,36388,97000,22974,16905,386853,422239,56291,20905,443144,13615,60427,35359,226901,22901,164685,35743,36388,97000,22974,16905,386853,422239,56291,20905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5482,1610,-991,-1901,2985,3346,-401,1017,-3532,3455,1049,-62,2515,3812,2967,1670,100,3.1,13.6,8,51.2,5.2,37.2,8.1,8.2,21.9,5.2,3.8,87.3,95.3,12.7,4.7,100,3.1,13.6,8,51.2,5.2,37.2,8.1,8.2,21.9,5.2,3.8,87.3,95.3,12.7,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,12,15,22,23,31,89,21,43,93,30,31,257,153,299,12,15,22,23,31,89,21,43,93,30,31,257,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,31.3,30.2,49.9,17.6,30.4,26.3,47.2,19.5,31.3,30.2,49.9,17.6,30.4,26.3,47.2,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250701,7/1/2025,088691,CMX ,01,088 ,437662,12005,61418,37260,223916,19555,165086,34726,39920,93545,21925,16967,384338,418427,53324,19235,437662,12005,61418,37260,223916,19555,165086,34726,39920,93545,21925,16967,384338,418427,53324,19235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,-314,-1316,-3323,3188,-866,1257,-3975,2967,1297,-447,3371,4389,2922,-1685,-218,100,2.7,14,8.5,51.2,4.5,37.7,7.9,9.1,21.4,5,3.9,87.8,95.6,12.2,4.4,100,2.7,14,8.5,51.2,4.5,37.7,7.9,9.1,21.4,5,3.9,87.8,95.6,12.2,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,12,15,23,23,28,91,23,44,92,28,29,252,157,303,12,15,23,23,28,91,23,44,92,28,29,252,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,31.1,31.1,50.6,17.4,30.3,26.4,47.3,20.1,31.1,31.1,50.6,17.4,30.3,26.4,47.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250624,6/24/2025,088691,CMX ,01,088 ,434958,12319,62734,40583,220728,20421,163829,38701,36953,92248,22372,13596,379949,415505,55009,19453,434958,12319,62734,40583,220728,20421,163829,38701,36953,92248,22372,13596,379949,415505,55009,19453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6256,1253,-1294,448,-4172,-62,-3817,1566,-1658,-692,-431,-897,-5425,-6948,-831,692,100,2.8,14.4,9.3,50.7,4.7,37.7,8.9,8.5,21.2,5.1,3.1,87.4,95.5,12.6,4.5,100,2.8,14.4,9.3,50.7,4.7,37.7,8.9,8.5,21.2,5.1,3.1,87.4,95.5,12.6,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,14,16,25,21,26,87,27,42,98,27,35,261,160,310,14,16,25,21,26,87,27,42,98,27,35,261,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31.3,31.3,51.3,17.3,30.4,27,47.7,20,31.3,31.3,51.3,17.3,30.4,27,47.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250617,6/17/2025,088691,CMX ,01,088 ,441214,11066,64028,40135,224900,20483,167646,37135,38611,92940,22803,14493,385374,422453,55840,18761,441214,11066,64028,40135,224900,20483,167646,37135,38611,92940,22803,14493,385374,422453,55840,18761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24071,-2315,1282,1268,12680,4299,6966,546,4768,7625,878,-372,22239,24081,1832,-10,100,2.5,14.5,9.1,51,4.6,38,8.4,8.8,21.1,5.2,3.3,87.3,95.7,12.7,4.3,100,2.5,14.5,9.1,51,4.6,38,8.4,8.8,21.1,5.2,3.3,87.3,95.7,12.7,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,13,18,26,20,26,101,21,40,101,29,31,274,152,322,13,18,26,20,26,101,21,40,101,29,31,274,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,31.5,30.8,51.2,16.8,30.5,26.2,47.9,19.5,31.5,30.8,51.2,16.8,30.5,26.2,47.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250610,6/10/2025,088691,CMX ,01,088 ,417143,13381,62746,38867,212220,16184,160680,36589,33843,85315,21925,14865,363135,398372,54008,18771,417143,13381,62746,38867,212220,16184,160680,36589,33843,85315,21925,14865,363135,398372,54008,18771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,-938,319,-1320,-685,-215,714,205,714,-1701,-768,1936,-810,1506,2012,-304,100,3.2,15,9.3,50.9,3.9,38.5,8.8,8.1,20.5,5.3,3.6,87.1,95.5,12.9,4.5,100,3.2,15,9.3,50.9,3.9,38.5,8.8,8.1,20.5,5.3,3.6,87.1,95.5,12.9,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,15,19,25,20,24,102,22,41,89,31,31,265,154,314,15,19,25,20,24,102,22,41,89,31,31,265,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,31.9,31.6,51.5,17.5,30.6,27.4,47.6,20.3,31.9,31.6,51.5,17.5,30.6,27.4,47.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250603,6/3/2025,088691,CMX ,01,088 ,415941,14319,62427,40187,212905,16399,159966,36384,33129,87016,22693,12929,363945,396866,51996,19075,415941,14319,62427,40187,212905,16399,159966,36384,33129,87016,22693,12929,363945,396866,51996,19075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21597,-1616,300,831,12154,-15819,12464,-302,-13185,431,-524,-158,-17052,-17534,-4545,-4063,100,3.4,15,9.7,51.2,3.9,38.5,8.7,8,20.9,5.5,3.1,87.5,95.4,12.5,4.6,100,3.4,15,9.7,51.2,3.9,38.5,8.7,8,20.9,5.5,3.1,87.5,95.4,12.5,4.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,17,19,23,22,29,106,21,37,89,31,32,275,151,318,17,19,23,22,29,106,21,37,89,31,32,275,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,32.6,31.2,51.2,17.6,31,27.1,47.9,20.1,32.6,31.2,51.2,17.6,31,27.1,47.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250527,5/27/2025,088691,CMX ,01,088 ,437538,15935,62127,39356,200751,32218,147502,36686,46314,86585,23217,13087,380997,414400,56541,23138,437538,15935,62127,39356,200751,32218,147502,36686,46314,86585,23217,13087,380997,414400,56541,23138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10462,-4267,3108,4912,7476,-3392,-1647,-4834,-1199,-2328,-9344,-5029,-12950,-13214,2488,2752,100,3.6,14.2,9,45.9,7.4,33.7,8.4,10.6,19.8,5.3,3,87.1,94.7,12.9,5.3,100,3.6,14.2,9,45.9,7.4,33.7,8.4,10.6,19.8,5.3,3,87.1,94.7,12.9,5.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,15,17,23,23,31,88,21,38,86,29,27,248,151,294,15,17,23,23,31,88,21,38,86,29,27,248,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,30.2,28.8,45.2,16.6,27.7,25.4,40.8,18.6,30.2,28.8,45.2,16.6,27.7,25.4,40.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250520,5/20/2025,088691,CMX ,01,088 ,448000,20202,59019,34444,193275,35610,149149,41520,47513,88913,32561,18116,393947,427614,54053,20386,448000,20202,59019,34444,193275,35610,149149,41520,47513,88913,32561,18116,393947,427614,54053,20386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7158,2551,-165,1094,10251,-1801,4739,-1663,6138,-4868,-1238,-3178,4675,8344,2483,-1186,100,4.5,13.2,7.7,43.1,7.9,33.3,9.3,10.6,19.8,7.3,4,87.9,95.4,12.1,4.6,100,4.5,13.2,7.7,43.1,7.9,33.3,9.3,10.6,19.8,7.3,4,87.9,95.4,12.1,4.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,14,17,22,20,27,93,24,40,87,38,30,254,158,306,14,17,22,20,27,93,24,40,87,38,30,254,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,29.2,27.8,43.4,16,27.1,24.5,40.2,18.2,29.2,27.8,43.4,16,27.1,24.5,40.2,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250513,5/13/2025,088691,CMX ,01,088 ,440842,17651,59184,33350,183024,37411,144410,43183,41375,93781,33799,21294,389272,419270,51570,21572,440842,17651,59184,33350,183024,37411,144410,43183,41375,93781,33799,21294,389272,419270,51570,21572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11572,-54,-3806,-3756,-900,4978,27,891,-15275,719,1143,2851,-10510,-10118,-1062,-1454,100,4,13.4,7.6,41.5,8.5,32.8,9.8,9.4,21.3,7.7,4.8,88.3,95.1,11.7,4.9,100,4,13.4,7.6,41.5,8.5,32.8,9.8,9.4,21.3,7.7,4.8,88.3,95.1,11.7,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,14,16,22,21,28,88,26,37,96,39,34,261,162,316,14,16,22,21,28,88,26,37,96,39,34,261,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28.8,26.4,43.4,15.7,26.9,24.2,40.5,17,28.8,26.4,43.4,15.7,26.9,24.2,40.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250506,5/6/2025,088691,CMX ,01,088 ,452414,17705,62990,37106,183924,32433,144383,42292,56650,93062,32656,18443,399782,429388,52632,23026,452414,17705,62990,37106,183924,32433,144383,42292,56650,93062,32656,18443,399782,429388,52632,23026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,546,-9,202,2631,3762,-8165,-6332,-2528,5436,3400,417,1628,-1411,752,1957,-206,100,3.9,13.9,8.2,40.7,7.2,31.9,9.3,12.5,20.6,7.2,4.1,88.4,94.9,11.6,5.1,100,3.9,13.9,8.2,40.7,7.2,31.9,9.3,12.5,20.6,7.2,4.1,88.4,94.9,11.6,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,14,16,28,22,31,92,28,41,99,40,33,276,170,333,14,16,28,22,31,92,28,41,99,40,33,276,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29.4,29.6,46.7,14.8,26.4,23.1,40.3,20,29.4,29.6,46.7,14.8,26.4,23.1,40.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,250429,4/29/2025,088691,CMX ,01,088 ,451868,17714,62788,34475,180162,40598,150715,44820,51214,89662,32239,16815,401193,428636,50675,23232,451868,17714,62788,34475,180162,40598,150715,44820,51214,89662,32239,16815,401193,428636,50675,23232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13483,-396,-632,-3221,-14492,5276,-15645,-638,-882,-2874,-5821,4488,-13254,-12701,-229,-782,100,3.9,13.9,7.6,39.9,9,33.4,9.9,11.3,19.8,7.1,3.7,88.8,94.9,11.2,5.1,100,3.9,13.9,7.6,39.9,9,33.4,9.9,11.3,19.8,7.1,3.7,88.8,94.9,11.2,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,13,15,22,24,27,95,26,42,89,35,30,264,157,315,13,15,22,24,27,95,26,42,89,35,30,264,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,28.4,29.6,46,14.9,25,23.1,40.3,19.7,28.4,29.6,46,14.9,25,23.1,40.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
