Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,231226,12/26/2023,088691,CMX ,01,088 ,491343,13243,58256,74400,261732,18308,152801,46347,30180,137042,35778,17333,443307,467934,48036,23409,491343,13243,58256,74400,261732,18308,152801,46347,30180,137042,35778,17333,443307,467934,48036,23409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10140,407,-2596,-617,7673,602,-2896,-1074,1295,11767,3566,-435,10123,9031,17,1109,100,2.7,11.9,15.1,53.3,3.7,31.1,9.4,6.1,27.9,7.3,3.5,90.2,95.2,9.8,4.8,100,2.7,11.9,15.1,53.3,3.7,31.1,9.4,6.1,27.9,7.3,3.5,90.2,95.2,9.8,4.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,13,16,23,26,28,94,30,50,91,32,32,271,167,319,13,16,23,26,28,94,30,50,91,32,32,271,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33.3,23,50.9,13.9,31.3,22.4,46.7,14,33.3,23,50.9,13.9,31.3,22.4,46.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231219,12/19/2023,088691,CMX ,01,088 ,481203,12836,60852,75017,254059,17706,155697,47421,28885,125275,32212,17768,433184,458903,48019,22300,481203,12836,60852,75017,254059,17706,155697,47421,28885,125275,32212,17768,433184,458903,48019,22300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11264,-584,2317,-1064,10285,1497,6063,-6685,354,1373,1015,2063,9702,10846,1562,418,100,2.7,12.6,15.6,52.8,3.7,32.4,9.9,6,26,6.7,3.7,90,95.4,10,4.6,100,2.7,12.6,15.6,52.8,3.7,32.4,9.9,6,26,6.7,3.7,90,95.4,10,4.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,10,18,24,27,28,94,25,48,93,28,34,269,165,316,10,18,24,27,28,94,25,48,93,28,34,269,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,34.5,23.6,52.1,14.2,31.9,23,47.9,14.2,34.5,23.6,52.1,14.2,31.9,23,47.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231212,12/12/2023,088691,CMX ,01,088 ,469939,13420,58535,76081,243774,16209,149634,54106,28531,123902,31197,15705,423482,448057,46457,21882,469939,13420,58535,76081,243774,16209,149634,54106,28531,123902,31197,15705,423482,448057,46457,21882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17530,789,-3790,-295,-9853,2023,-10273,3586,1140,-5031,-3579,-4857,-16504,-15330,-1026,-2200,100,2.9,12.5,16.2,51.9,3.4,31.8,11.5,6.1,26.4,6.6,3.3,90.1,95.3,9.9,4.7,100,2.9,12.5,16.2,51.9,3.4,31.8,11.5,6.1,26.4,6.6,3.3,90.1,95.3,9.9,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,12,18,19,27,24,94,29,49,96,29,38,266,172,321,12,18,19,27,24,94,29,49,96,29,38,266,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,35.9,24.5,52.6,15.1,33,24.1,48.3,15.1,35.9,24.5,52.6,15.1,33,24.1,48.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231205,12/5/2023,088691,CMX ,01,088 ,487469,12631,62325,76376,253627,14186,159907,50520,27391,128933,34776,20562,439986,463387,47483,24082,487469,12631,62325,76376,253627,14186,159907,50520,27391,128933,34776,20562,439986,463387,47483,24082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18189,-1702,-2616,-428,8839,-10273,-9788,-4282,-1551,8783,-183,-5063,-20022,-15129,1833,-3060,100,2.6,12.8,15.7,52,2.9,32.8,10.4,5.6,26.4,7.1,4.2,90.3,95.1,9.7,4.9,100,2.6,12.8,15.7,52,2.9,32.8,10.4,5.6,26.4,7.1,4.2,90.3,95.1,9.7,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,9,19,21,29,27,94,28,48,96,38,41,268,183,331,9,19,21,29,27,94,28,48,96,38,41,268,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8,36.4,23.9,51.8,14.8,33.6,23.7,48.5,14.8,36.4,23.9,51.8,14.8,33.6,23.7,48.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231128,11/28/2023,088691,CMX ,01,088 ,505658,14333,64941,76804,244788,24459,169695,54802,28942,120150,34959,25625,460008,478516,45650,27142,505658,14333,64941,76804,244788,24459,169695,54802,28942,120150,34959,25625,460008,478516,45650,27142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2771,252,4951,-4142,19516,3549,25314,-10444,-13202,-5170,2209,-11063,-4462,-4484,1691,1713,100,2.8,12.8,15.2,48.4,4.8,33.6,10.8,5.7,23.8,6.9,5.1,91,94.6,9,5.4,100,2.8,12.8,15.2,48.4,4.8,33.6,10.8,5.7,23.8,6.9,5.1,91,94.6,9,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,11,19,20,27,27,97,26,48,95,36,42,279,173,329,11,19,20,27,27,97,26,48,95,36,42,279,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1,33.8,23.1,49.2,13.5,30.8,22.3,44.7,14.1,33.8,23.1,49.2,13.5,30.8,22.3,44.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231121,11/21/2023,088691,CMX ,01,088 ,508429,14081,59990,80946,225272,20910,144381,65246,42144,125320,32750,36688,464470,483000,43959,25429,508429,14081,59990,80946,225272,20910,144381,65246,42144,125320,32750,36688,464470,483000,43959,25429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21795,1905,4749,-2760,7612,6064,11457,-3363,-4494,3892,2383,7181,23245,20132,-1450,1663,100,2.8,11.8,15.9,44.3,4.1,28.4,12.8,8.3,24.6,6.4,7.2,91.4,95,8.6,5,100,2.8,11.8,15.9,44.3,4.1,28.4,12.8,8.3,24.6,6.4,7.2,91.4,95,8.6,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,11,19,25,26,28,89,33,56,97,28,47,272,192,327,11,19,25,26,28,89,33,56,97,28,47,272,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,31.7,23.7,45.6,13.7,28.7,22.4,41.8,14.4,31.7,23.7,45.6,13.7,28.7,22.4,41.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231114,11/14/2023,088691,CMX ,01,088 ,486634,12176,55241,83706,217660,14846,132924,68609,46638,121428,30367,29507,441225,462868,45409,23766,486634,12176,55241,83706,217660,14846,132924,68609,46638,121428,30367,29507,441225,462868,45409,23766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2287,1689,-229,1692,-5462,-3304,-7685,6235,2076,384,-2696,7510,2362,4130,-75,-1843,100,2.5,11.4,17.2,44.7,3.1,27.3,14.1,9.6,25,6.2,6.1,90.7,95.1,9.3,4.9,100,2.5,11.4,17.2,44.7,3.1,27.3,14.1,9.6,25,6.2,6.1,90.7,95.1,9.3,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,9,20,25,24,27,83,34,51,99,23,39,260,181,317,9,20,25,24,27,83,34,51,99,23,39,260,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,33.7,25,48.1,14.2,31.1,23.2,44,15.6,33.7,25,48.1,14.2,31.1,23.2,44,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231107,11/7/2023,088691,CMX ,01,088 ,484347,10487,55470,82014,223122,18150,140609,62374,44562,121044,33063,21997,438863,458738,45484,25609,484347,10487,55470,82014,223122,18150,140609,62374,44562,121044,33063,21997,438863,458738,45484,25609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8539,-678,120,2720,5306,2638,498,-2897,2694,102,706,-127,7847,8440,692,99,100,2.2,11.5,16.9,46.1,3.7,29,12.9,9.2,25,6.8,4.5,90.6,94.7,9.4,5.3,100,2.2,11.5,16.9,46.1,3.7,29,12.9,9.2,25,6.8,4.5,90.6,94.7,9.4,5.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,9,18,21,27,24,84,30,58,95,29,37,255,179,310,9,18,21,27,24,84,30,58,95,29,37,255,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,34,24.6,47.9,14.7,31.6,23.4,45,15.2,34,24.6,47.9,14.7,31.6,23.4,45,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231031,10/31/2023,088691,CMX ,01,088 ,475808,11165,55350,79294,217816,15512,140111,65271,41868,120942,32357,22124,431016,450298,44792,25510,475808,11165,55350,79294,217816,15512,140111,65271,41868,120942,32357,22124,431016,450298,44792,25510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12332,523,4563,-1939,10855,1207,17655,-1437,426,-8071,-3019,-132,9669,12463,2663,-131,100,2.3,11.6,16.7,45.8,3.3,29.4,13.7,8.8,25.4,6.8,4.6,90.6,94.6,9.4,5.4,100,2.3,11.6,16.7,45.8,3.3,29.4,13.7,8.8,25.4,6.8,4.6,90.6,94.6,9.4,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,8,20,25,26,29,89,26,51,96,29,40,263,182,321,8,20,25,26,29,89,26,51,96,29,40,263,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,33,24.8,48,15.1,30.6,24,44.5,15.6,33,24.8,48,15.1,30.6,24,44.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,231024,10/24/2023,088691,CMX ,01,088 ,463476,10642,50787,81233,206961,14305,122456,66708,41442,129013,35376,22256,421347,437835,42129,25641,463476,10642,50787,81233,206961,14305,122456,66708,41442,129013,35376,22256,421347,437835,42129,25641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23895,-1095,9084,-3359,24336,572,17748,-22897,1895,2309,6307,4559,22629,23856,1266,39,100,2.3,11,17.5,44.7,3.1,26.4,14.4,8.9,27.8,7.6,4.8,90.9,94.5,9.1,5.5,100,2.3,11,17.5,44.7,3.1,26.4,14.4,8.9,27.8,7.6,4.8,90.9,94.5,9.1,5.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,7,20,24,25,28,81,39,51,87,33,38,255,182,316,7,20,24,25,28,81,39,51,87,33,38,255,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,32.3,25.1,47.9,15.1,29.8,24.2,44.2,15.6,32.3,25.1,47.9,15.1,29.8,24.2,44.2,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
