Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,211228,12/28/2021,088691,CMX ,01,088 ,508912,11047,69200,74017,261528,18108,130389,46726,33455,173490,43997,17285,457791,490299,51121,18613,508912,11047,69200,74017,261528,18108,130389,46726,33455,173490,43997,17285,457791,490299,51121,18613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8066,-646,1714,-476,6799,-703,6269,-5646,681,982,5552,89,6196,8486,1870,-420,100,2.2,13.6,14.5,51.4,3.6,25.6,9.2,6.6,34.1,8.6,3.4,90,96.3,10,3.7,100,2.2,13.6,14.5,51.4,3.6,25.6,9.2,6.6,34.1,8.6,3.4,90,96.3,10,3.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,11,22,18,26,21,85,19,40,94,35,35,251,158,306,11,22,18,26,21,85,19,40,94,35,35,251,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,27,35.3,46.2,24.1,27,32.7,45.9,24.7,27,35.3,46.2,24.1,27,32.7,45.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211221,12/21/2021,088691,CMX ,01,088 ,500846,11693,67486,74493,254729,18811,124120,52372,32774,172508,38445,17196,451595,481813,49251,19033,500846,11693,67486,74493,254729,18811,124120,52372,32774,172508,38445,17196,451595,481813,49251,19033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2863,-130,4140,-1995,-1647,-299,2628,-5703,999,-4142,779,-478,-3417,-2209,554,-654,100,2.3,13.5,14.9,50.9,3.8,24.8,10.5,6.5,34.4,7.7,3.4,90.2,96.2,9.8,3.8,100,2.3,13.5,14.9,50.9,3.8,24.8,10.5,6.5,34.4,7.7,3.4,90.2,96.2,9.8,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,13,21,18,27,21,79,26,44,98,32,33,250,163,308,13,21,18,27,21,79,26,44,98,32,33,250,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,27.4,36,46.7,24.5,27.2,33.3,46.4,25.1,27.4,36,46.7,24.5,27.2,33.3,46.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211214,12/14/2021,088691,CMX ,01,088 ,503709,11823,63346,76488,256376,19110,121492,58075,31775,176650,37666,17674,455012,484022,48697,19687,503709,11823,63346,76488,256376,19110,121492,58075,31775,176650,37666,17674,455012,484022,48697,19687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4402,110,-2514,198,-11390,3171,-3575,13749,-907,1199,-1341,2867,3063,3635,1339,767,100,2.3,12.6,15.2,50.9,3.8,24.1,11.5,6.3,35.1,7.5,3.5,90.3,96.1,9.7,3.9,100,2.3,12.6,15.2,50.9,3.8,24.1,11.5,6.3,35.1,7.5,3.5,90.3,96.1,9.7,3.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,11,21,20,27,22,70,33,42,100,29,31,243,167,310,11,21,20,27,22,70,33,42,100,29,31,243,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,27.2,36,46.3,24.3,27,33.2,46.1,24.9,27.2,36,46.3,24.3,27,33.2,46.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211207,12/7/2021,088691,CMX ,01,088 ,499307,11713,65860,76290,267766,15939,125067,44326,32682,175451,39007,14807,451949,480387,47358,18920,499307,11713,65860,76290,267766,15939,125067,44326,32682,175451,39007,14807,451949,480387,47358,18920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32561,-1871,-1547,6107,-7197,-19856,-12402,-1058,-309,2667,-2,-2598,-28262,-32567,-4299,6,100,2.3,13.2,15.3,53.6,3.2,25,8.9,6.5,35.1,7.8,3,90.5,96.2,9.5,3.8,100,2.3,13.2,15.3,53.6,3.2,25,8.9,6.5,35.1,7.8,3,90.5,96.2,9.5,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,16,23,20,26,23,80,21,39,93,33,30,249,156,305,16,23,20,26,23,80,21,39,93,33,30,249,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,28.3,36.2,47.9,24.6,28.1,33.5,47.6,25.1,28.3,36.2,47.9,24.6,28.1,33.5,47.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211130,11/30/2021,088691,CMX ,01,088 ,531868,13584,67407,70183,274963,35795,137469,45384,32991,172784,39009,17405,480211,512954,51657,18914,531868,13584,67407,70183,274963,35795,137469,45384,32991,172784,39009,17405,480211,512954,51657,18914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27955,-738,-15441,2196,7668,-2923,-14804,-1550,1718,-1352,-6055,-8329,-24232,-24912,-3723,-3043,100,2.6,12.7,13.2,51.7,6.7,25.8,8.5,6.2,32.5,7.3,3.3,90.3,96.4,9.7,3.6,100,2.6,12.7,13.2,51.7,6.7,25.8,8.5,6.2,32.5,7.3,3.3,90.3,96.4,9.7,3.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,13,19,19,28,24,81,21,33,97,30,28,249,145,302,13,19,19,28,24,81,21,33,97,30,28,249,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,27.8,34.9,47.5,22.6,27.1,31.3,45.5,24.1,27.8,34.9,47.5,22.6,27.1,31.3,45.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211123,11/23/2021,088691,CMX ,01,088 ,559823,14322,82848,67987,267295,38718,152273,46934,31273,174136,45064,25734,504443,537866,55380,21957,559823,14322,82848,67987,267295,38718,152273,46934,31273,174136,45064,25734,504443,537866,55380,21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52789,-3676,-3344,-525,-20562,-530,-33195,3851,-17698,-925,-12602,434,-56115,-50451,3326,-2338,100,2.6,14.8,12.1,47.7,6.9,27.2,8.4,5.6,31.1,8,4.6,90.1,96.1,9.9,3.9,100,2.6,14.8,12.1,47.7,6.9,27.2,8.4,5.6,31.1,8,4.6,90.1,96.1,9.9,3.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,15,19,20,26,28,82,20,31,106,33,36,266,155,317,15,19,20,26,28,82,20,31,106,33,36,266,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,27.5,33.2,45.3,21.4,27.3,29.9,44.1,23.4,27.5,33.2,45.3,21.4,27.3,29.9,44.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211116,11/16/2021,088691,CMX ,01,088 ,612612,17998,86192,68512,287857,39248,185468,43083,48971,175061,57666,25300,560558,588317,52054,24295,612612,17998,86192,68512,287857,39248,185468,43083,48971,175061,57666,25300,560558,588317,52054,24295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41587,586,9980,268,2924,19707,17335,560,7724,2083,9259,-8076,39627,42078,1960,-491,100,2.9,14.1,11.2,47,6.4,30.3,7,8,28.6,9.4,4.1,91.5,96,8.5,4,100,2.9,14.1,11.2,47,6.4,30.3,7,8,28.6,9.4,4.1,91.5,96,8.5,4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,15,26,17,31,27,99,21,28,107,49,36,286,174,360,15,26,17,31,27,99,21,28,107,49,36,286,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2,26.1,33.8,43.5,20,25.6,28.6,40.7,23.2,26.1,33.8,43.5,20,25.6,28.6,40.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211109,11/9/2021,088691,CMX ,01,088 ,571025,17412,76212,68244,284933,19541,168133,42523,41247,172978,48407,33376,520931,546239,50094,24786,571025,17412,76212,68244,284933,19541,168133,42523,41247,172978,48407,33376,520931,546239,50094,24786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63409,3426,9905,-3121,26012,4200,31189,-9182,8227,-1169,4150,16499,59251,59811,4158,3598,100,3,13.3,12,49.9,3.4,29.4,7.4,7.2,30.3,8.5,5.8,91.2,95.7,8.8,4.3,100,3,13.3,12,49.9,3.4,29.4,7.4,7.2,30.3,8.5,5.8,91.2,95.7,8.8,4.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,15,22,15,31,23,96,21,31,97,46,36,265,171,338,15,22,15,31,23,96,21,31,97,46,36,265,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26.3,34.1,44.4,21,26.2,29.9,42.3,24,26.3,34.1,44.4,21,26.2,29.9,42.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211102,11/2/2021,088691,CMX ,01,088 ,507616,13986,66307,71365,258921,15341,136944,51705,33020,174147,44257,16877,461680,486428,45936,21188,507616,13986,66307,71365,258921,15341,136944,51705,33020,174147,44257,16877,461680,486428,45936,21188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2178,481,1707,-1520,-2523,-1692,-4336,-3213,9205,1781,89,-4326,-407,-753,-1771,-1425,100,2.8,13.1,14.1,51,3,27,10.2,6.5,34.3,8.7,3.3,91,95.8,9,4.2,100,2.8,13.1,14.1,51,3,27,10.2,6.5,34.3,8.7,3.3,91,95.8,9,4.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,14,18,17,32,19,80,26,31,99,43,33,251,163,323,14,18,17,32,19,80,26,31,99,43,33,251,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27.7,36.3,46.1,23.7,27.6,33.3,45.3,25,27.7,36.3,46.1,23.7,27.6,33.3,45.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,211026,10/26/2021,088691,CMX ,01,088 ,509794,13505,64600,72885,261444,17033,141280,54918,23815,172366,44168,21203,462087,487181,47707,22613,509794,13505,64600,72885,261444,17033,141280,54918,23815,172366,44168,21203,462087,487181,47707,22613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23820,1031,1474,-3809,16212,-927,16720,-11843,9261,-2956,4396,2987,22307,21560,1513,2260,100,2.6,12.7,14.3,51.3,3.3,27.7,10.8,4.7,33.8,8.7,4.2,90.6,95.6,9.4,4.4,100,2.6,12.7,14.3,51.3,3.3,27.7,10.8,4.7,33.8,8.7,4.2,90.6,95.6,9.4,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,13,19,19,30,17,80,28,28,102,40,35,255,158,327,13,19,19,30,17,80,28,28,102,40,35,255,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,28.3,35.1,45.8,23,28.2,32.8,45.4,24.6,28.3,35.1,45.8,23,28.2,32.8,45.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
