Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,241231,12/31/2024,088691,CMX ,01,088 ,458584,9983,83344,31829,229764,18587,182128,15959,47970,100779,19669,19951,411227,435244,47357,23340,458584,9983,83344,31829,229764,18587,182128,15959,47970,100779,19669,19951,411227,435244,47357,23340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3938,785,-643,246,-366,1232,-3971,-4643,7910,-2538,-1516,730,4394,2704,-456,1234,100,2.2,18.2,6.9,50.1,4.1,39.7,3.5,10.5,22,4.3,4.4,89.7,94.9,10.3,5.1,100,2.2,18.2,6.9,50.1,4.1,39.7,3.5,10.5,22,4.3,4.4,89.7,94.9,10.3,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,6,12,12,30,25,83,24,35,74,25,25,213,140,265,6,12,12,30,25,83,24,35,74,25,25,213,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,40.2,33.3,57.6,19.4,37.2,26.9,50.1,23.7,40.2,33.3,57.6,19.4,37.2,26.9,50.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241224,12/24/2024,088691,CMX ,01,088 ,454646,9198,83987,31583,230130,17355,186099,20602,40060,103317,21185,19221,406833,432540,47813,22106,454646,9198,83987,31583,230130,17355,186099,20602,40060,103317,21185,19221,406833,432540,47813,22106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11925,-773,1561,-939,-15170,-1164,-15781,2224,132,2219,-1374,4956,-11350,-8835,-575,-3090,100,2,18.5,6.9,50.6,3.8,40.9,4.5,8.8,22.7,4.7,4.2,89.5,95.1,10.5,4.9,100,2,18.5,6.9,50.6,3.8,40.9,4.5,8.8,22.7,4.7,4.2,89.5,95.1,10.5,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,7,14,11,30,24,84,26,37,79,28,27,220,149,278,7,14,11,30,24,84,26,37,79,28,27,220,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,39.6,32.3,56,19.8,37.3,27.7,50.5,22.6,39.6,32.3,56,19.8,37.3,27.7,50.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241217,12/17/2024,088691,CMX ,01,088 ,466571,9971,82426,32522,245300,18519,201880,18378,39928,101098,22559,14265,418183,441375,48388,25196,466571,9971,82426,32522,245300,18519,201880,18378,39928,101098,22559,14265,418183,441375,48388,25196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16775,-1233,4777,-790,-18438,-2990,-16602,-4026,7887,-4752,-3783,-235,-18715,-16808,1940,33,100,2.1,17.7,7,52.6,4,43.3,3.9,8.6,21.7,4.8,3.1,89.6,94.6,10.4,5.4,100,2.1,17.7,7,52.6,4,43.3,3.9,8.6,21.7,4.8,3.1,89.6,94.6,10.4,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,7,15,14,27,25,88,23,40,79,29,24,228,145,282,7,15,14,27,25,88,23,40,79,29,24,228,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,40.6,33.3,57,20.8,38.4,28.8,51.9,22.9,40.6,33.3,57,20.8,38.4,28.8,51.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241210,12/10/2024,088691,CMX ,01,088 ,483346,11204,77649,33312,263738,21509,218482,22404,32041,105850,26342,14500,436898,458183,46448,25163,483346,11204,77649,33312,263738,21509,218482,22404,32041,105850,26342,14500,436898,458183,46448,25163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21306,237,4341,348,6840,2189,14902,-441,3489,1819,1312,211,23195,17941,-1889,3365,100,2.3,16.1,6.9,54.6,4.5,45.2,4.6,6.6,21.9,5.4,3,90.4,94.8,9.6,5.2,100,2.3,16.1,6.9,54.6,4.5,45.2,4.6,6.6,21.9,5.4,3,90.4,94.8,9.6,5.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,8,16,14,33,25,99,28,43,79,36,31,249,166,314,8,16,14,33,25,99,28,43,79,36,31,249,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,41.2,31.6,58,20.2,39.2,28.6,53.8,21,41.2,31.6,58,20.2,39.2,28.6,53.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241203,12/3/2024,088691,CMX ,01,088 ,462040,10967,73308,32964,256898,19320,203580,22845,28552,104031,25030,14289,413703,440242,48337,21798,462040,10967,73308,32964,256898,19320,203580,22845,28552,104031,25030,14289,413703,440242,48337,21798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10620,-3342,-8081,119,18613,-5903,-16,-1461,-459,4226,-3727,-7008,-12383,-8026,1763,-2594,100,2.4,15.9,7.1,55.6,4.2,44.1,4.9,6.2,22.5,5.4,3.1,89.5,95.3,10.5,4.7,100,2.4,15.9,7.1,55.6,4.2,44.1,4.9,6.2,22.5,5.4,3.1,89.5,95.3,10.5,4.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,8,16,16,31,24,92,28,36,80,30,28,235,156,301,8,16,16,31,24,92,28,36,80,30,28,235,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,43,31.6,59.4,21,41.1,29.5,55.6,21.4,43,31.6,59.4,21,41.1,29.5,55.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241126,11/26/2024,088691,CMX ,01,088 ,472660,14309,81389,32845,238285,25223,203596,24306,29011,99805,28757,21297,426086,448268,46574,24392,472660,14309,81389,32845,238285,25223,203596,24306,29011,99805,28757,21297,426086,448268,46574,24392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30292,522,-2715,-1913,11522,309,10241,-13875,-17136,-16194,-8049,-274,-24445,-30218,-5847,-74,100,3,17.2,6.9,50.4,5.3,43.1,5.1,6.1,21.1,6.1,4.5,90.1,94.8,9.9,5.2,100,3,17.2,6.9,50.4,5.3,43.1,5.1,6.1,21.1,6.1,4.5,90.1,94.8,9.9,5.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,8,17,19,28,29,90,23,36,78,34,35,238,163,297,8,17,19,28,29,90,23,36,78,34,35,238,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,40,30.3,54.8,20.8,37.4,28.5,50.3,21,40,30.3,54.8,20.8,37.4,28.5,50.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241119,11/19/2024,088691,CMX ,01,088 ,502952,13787,84104,34758,226763,24914,193355,38181,46147,115999,36806,21571,450531,478486,52421,24466,502952,13787,84104,34758,226763,24914,193355,38181,46147,115999,36806,21571,450531,478486,52421,24466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33029,576,3437,-1975,-8096,-489,-10306,-184,-15911,3435,-4603,-3942,-28612,-29788,-4417,-3241,100,2.7,16.7,6.9,45.1,5,38.4,7.6,9.2,23.1,7.3,4.3,89.6,95.1,10.4,4.9,100,2.7,16.7,6.9,45.1,5,38.4,7.6,9.2,23.1,7.3,4.3,89.6,95.1,10.4,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,9,15,17,27,26,85,25,35,87,32,43,247,159,298,9,15,17,27,26,85,25,35,87,32,43,247,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,34.6,28.7,50.1,19.2,33,27.5,47.5,19.9,34.6,28.7,50.1,19.2,33,27.5,47.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241112,11/12/2024,088691,CMX ,01,088 ,535981,13211,80667,36733,234859,25403,203661,38365,62058,112564,41409,25513,479143,508274,56838,27707,535981,13211,80667,36733,234859,25403,203661,38365,62058,112564,41409,25513,479143,508274,56838,27707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22053,145,-1762,-3030,-18600,4945,-16026,1681,-7626,-4565,-3394,-97,-26254,-24853,4201,2800,100,2.5,15.1,6.9,43.8,4.7,38,7.2,11.6,21,7.7,4.8,89.4,94.8,10.6,5.2,100,2.5,15.1,6.9,43.8,4.7,38,7.2,11.6,21,7.7,4.8,89.4,94.8,10.6,5.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,8,14,16,27,24,95,27,48,86,39,43,255,176,312,8,14,16,27,24,95,27,48,86,39,43,255,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,32,28.9,47.6,18.1,30.5,26.3,44,19.3,32,28.9,47.6,18.1,30.5,26.3,44,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241105,11/5/2024,088691,CMX ,01,088 ,558034,13066,82429,39763,253459,20458,219687,36684,69684,117129,44803,25610,505397,533127,52637,24907,558034,13066,82429,39763,253459,20458,219687,36684,69684,117129,44803,25610,505397,533127,52637,24907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21434,687,-4570,-411,-15766,4076,-15169,-2999,5341,-14651,-3497,-512,-20639,-17927,-795,-3507,100,2.3,14.8,7.1,45.4,3.7,39.4,6.6,12.5,21,8,4.6,90.6,95.5,9.4,4.5,100,2.3,14.8,7.1,45.4,3.7,39.4,6.6,12.5,21,8,4.6,90.6,95.5,9.4,4.5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,9,15,13,29,21,99,22,46,81,41,35,245,171,311,9,15,13,29,21,99,22,46,81,41,35,245,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,32.3,30.2,47.6,17.3,31.2,25.7,43.3,19.2,32.3,30.2,47.6,17.3,31.2,25.7,43.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,241029,10/29/2024,088691,CMX ,01,088 ,579468,12379,86999,40174,269225,16382,234856,39683,64343,131780,48300,26122,526036,551054,53432,28414,579468,12379,86999,40174,269225,16382,234856,39683,64343,131780,48300,26122,526036,551054,53432,28414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5708,-563,-8038,722,-12833,2531,-7571,2416,11666,2394,9958,-2689,6490,3011,-782,2697,100,2.1,15,6.9,46.5,2.8,40.5,6.8,11.1,22.7,8.3,4.5,90.8,95.1,9.2,4.9,100,2.1,15,6.9,46.5,2.8,40.5,6.8,11.1,22.7,8.3,4.5,90.8,95.1,9.2,4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,8,16,14,29,18,100,27,38,91,47,37,258,172,334,8,16,14,29,18,100,27,38,91,47,37,258,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,31.4,29.5,45.9,17,29.9,25.4,41.9,19.2,31.4,29.5,45.9,17,29.9,25.4,41.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
