Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,221227,12/27/2022,088691,CMX ,01,088 ,440040,13950,56342,91331,202715,11463,106983,56106,43511,122542,36539,10836,400616,417512,39424,22528,440040,13950,56342,91331,202715,11463,106983,56106,43511,122542,36539,10836,400616,417512,39424,22528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387,90,4785,-853,5714,1042,2170,-9612,2181,1219,4969,-3190,2659,5889,728,-2502,100,3.2,12.8,20.8,46.1,2.6,24.3,12.8,9.9,27.8,8.3,2.5,91,94.9,9,5.1,100,3.2,12.8,20.8,46.1,2.6,24.3,12.8,9.9,27.8,8.3,2.5,91,94.9,9,5.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,11,14,20,24,22,86,32,41,70,30,25,225,152,284,11,14,20,24,22,86,32,41,70,30,25,225,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,32.7,31.1,51.9,19.5,28.9,28.7,47.2,19.6,32.7,31.1,51.9,19.5,28.9,28.7,47.2,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221220,12/20/2022,088691,CMX ,01,088 ,436653,13860,51557,92184,197001,10421,104813,65718,41330,121323,31570,14026,397957,411623,38696,25030,436653,13860,51557,92184,197001,10421,104813,65718,41330,121323,31570,14026,397957,411623,38696,25030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-387,102,956,-2045,1086,-1500,1076,-570,1480,651,-902,-1538,-1774,-988,1387,601,100,3.2,11.8,21.1,45.1,2.4,24,15.1,9.5,27.8,7.2,3.2,91.1,94.3,8.9,5.7,100,3.2,11.8,21.1,45.1,2.4,24,15.1,9.5,27.8,7.2,3.2,91.1,94.3,8.9,5.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,11,14,20,24,22,88,31,38,70,31,23,224,150,286,11,14,20,24,22,88,31,38,70,31,23,224,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,33.3,31.4,52.3,19.7,29.5,29.1,47.9,19.8,33.3,31.4,52.3,19.7,29.5,29.1,47.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221213,12/13/2022,088691,CMX ,01,088 ,437040,13758,50601,94229,195915,11921,103737,66288,39850,120672,32472,15564,399731,412611,37309,24429,437040,13758,50601,94229,195915,11921,103737,66288,39850,120672,32472,15564,399731,412611,37309,24429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14940,2046,936,1910,11470,-1626,10108,-3854,-1047,2829,6267,1196,15416,13342,-476,1598,100,3.1,11.6,21.6,44.8,2.7,23.7,15.2,9.1,27.6,7.4,3.6,91.5,94.4,8.5,5.6,100,3.1,11.6,21.6,44.8,2.7,23.7,15.2,9.1,27.6,7.4,3.6,91.5,94.4,8.5,5.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,10,13,18,24,23,91,32,42,74,35,30,235,161,297,10,13,18,24,23,91,32,42,74,35,30,235,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32.6,31.6,51.2,19.7,28.5,29.1,46.6,20,32.6,31.6,51.2,19.7,28.5,29.1,46.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221206,12/6/2022,088691,CMX ,01,088 ,422100,11712,49665,92319,184445,13547,93629,70142,40897,117843,26205,14368,384315,399269,37785,22831,422100,11712,49665,92319,184445,13547,93629,70142,40897,117843,26205,14368,384315,399269,37785,22831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11561,-446,881,-6651,2868,-9509,5597,-3170,-808,-3286,359,-297,-15400,-9676,3839,-1885,100,2.8,11.8,21.9,43.7,3.2,22.2,16.6,9.7,27.9,6.2,3.4,91,94.6,9,5.4,100,2.8,11.8,21.9,43.7,3.2,22.2,16.6,9.7,27.9,6.2,3.4,91,94.6,9,5.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,12,15,18,21,23,80,39,41,71,31,28,221,161,283,12,15,18,21,23,80,39,41,71,31,28,221,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,33.5,32.6,53.6,20.5,29.2,30.2,48.7,20.9,33.5,32.6,53.6,20.5,29.2,30.2,48.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221129,11/29/2022,088691,CMX ,01,088 ,433661,12158,48784,98970,181577,23056,88032,73312,41705,121129,25846,14665,399715,408945,33946,24716,433661,12158,48784,98970,181577,23056,88032,73312,41705,121129,25846,14665,399715,408945,33946,24716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15881,-1975,-5743,2079,-4984,326,-4129,582,-3557,-994,405,-1281,-9531,-14252,-6350,-1629,100,2.8,11.2,22.8,41.9,5.3,20.3,16.9,9.6,27.9,6,3.4,92.2,94.3,7.8,5.7,100,2.8,11.2,22.8,41.9,5.3,20.3,16.9,9.6,27.9,6,3.4,92.2,94.3,7.8,5.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,9,13,21,22,26,70,41,43,74,27,29,221,156,274,9,13,21,22,26,70,41,43,74,27,29,221,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7,32.8,32.3,52.3,19.6,27.4,29.6,46.2,20.7,32.8,32.3,52.3,19.6,27.4,29.6,46.2,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221122,11/22/2022,088691,CMX ,01,088 ,449542,14133,54527,96891,186561,22730,92161,72730,45262,122123,25441,15946,409246,423197,40296,26345,449542,14133,54527,96891,186561,22730,92161,72730,45262,122123,25441,15946,409246,423197,40296,26345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45629,-469,2943,3134,-4522,-3946,-2904,3122,-30566,-10094,-5964,-4107,-48952,-43040,3323,-2589,100,3.1,12.1,21.6,41.5,5.1,20.5,16.2,10.1,27.2,5.7,3.5,91,94.1,9,5.9,100,3.1,12.1,21.6,41.5,5.1,20.5,16.2,10.1,27.2,5.7,3.5,91,94.1,9,5.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,12,17,21,21,28,72,37,45,77,28,35,238,159,281,12,17,21,21,28,72,37,45,77,28,35,238,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,30.9,31.3,49.5,19,26.2,28.4,44.6,20.1,30.9,31.3,49.5,19,26.2,28.4,44.6,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221115,11/15/2022,088691,CMX ,01,088 ,495171,14602,51584,93757,191083,26676,95065,69608,75828,132217,31405,20053,458198,466237,36973,28934,495171,14602,51584,93757,191083,26676,95065,69608,75828,132217,31405,20053,458198,466237,36973,28934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,-2136,16260,-1132,23636,12116,7006,-34797,6623,-2859,-4987,-11846,7772,7005,-1072,-305,100,2.9,10.4,18.9,38.6,5.4,19.2,14.1,15.3,26.7,6.3,4,92.5,94.2,7.5,5.8,100,2.9,10.4,18.9,38.6,5.4,19.2,14.1,15.3,26.7,6.3,4,92.5,94.2,7.5,5.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,15,22,20,24,27,83,37,53,86,35,47,265,189,316,15,22,20,24,27,83,37,53,86,35,47,265,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,26.8,30.9,46.6,17.1,22.8,25.3,39.5,19.9,26.8,30.9,46.6,17.1,22.8,25.3,39.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221108,11/8/2022,088691,CMX ,01,088 ,488471,16738,35324,94889,167447,14560,88059,104405,69205,135076,36392,31899,450426,459232,38045,29239,488471,16738,35324,94889,167447,14560,88059,104405,69205,135076,36392,31899,450426,459232,38045,29239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21195,-517,9296,-90,6459,1105,9846,-15209,10927,-3052,4288,3490,21709,20356,-514,839,100,3.4,7.2,19.4,34.3,3,18,21.4,14.2,27.7,7.5,6.5,92.2,94,7.8,6,100,3.4,7.2,19.4,34.3,3,18,21.4,14.2,27.7,7.5,6.5,92.2,94,7.8,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,14,17,19,24,24,77,50,51,93,38,45,261,197,330,14,17,19,24,24,77,50,51,93,38,45,261,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,26.2,28.8,42.2,17.2,21.9,25.3,36.3,18.2,26.2,28.8,42.2,17.2,21.9,25.3,36.3,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221101,11/1/2022,088691,CMX ,01,088 ,467276,17255,26028,94979,160988,13455,78213,119614,58278,138128,32104,28409,428717,438876,38559,28400,467276,17255,26028,94979,160988,13455,78213,119614,58278,138128,32104,28409,428717,438876,38559,28400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11204,-781,-2434,3329,-449,56,6197,8810,6507,-2709,-1913,-317,12282,10260,-1078,944,100,3.7,5.6,20.3,34.5,2.9,16.7,25.6,12.5,29.6,6.9,6.1,91.7,93.9,8.3,6.1,100,3.7,5.6,20.3,34.5,2.9,16.7,25.6,12.5,29.6,6.9,6.1,91.7,93.9,8.3,6.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,16,13,23,19,20,67,60,51,97,31,40,255,187,324,16,13,23,19,20,67,60,51,97,31,40,255,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,26.9,29.2,42.6,17.6,22.3,26,36.9,18.8,26.9,29.2,42.6,17.6,22.3,26,36.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,221025,10/25/2022,088691,CMX ,01,088 ,456072,18036,28462,91650,161437,13399,72016,110804,51771,140837,34017,28726,416435,428616,39637,27456,456072,18036,28462,91650,161437,13399,72016,110804,51771,140837,34017,28726,416435,428616,39637,27456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21371,3685,-1454,2703,-1975,1624,-1328,11762,1369,3291,-875,9676,21020,20127,351,1244,100,4,6.2,20.1,35.4,2.9,15.8,24.3,11.4,30.9,7.5,6.3,91.3,94,8.7,6,100,4,6.2,20.1,35.4,2.9,15.8,24.3,11.4,30.9,7.5,6.3,91.3,94,8.7,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,16,15,25,19,21,63,57,48,93,34,38,245,188,319,16,15,25,19,21,63,57,48,93,34,38,245,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4,26.7,30,43,17.7,22.1,26.1,37.1,19.4,26.7,30,43,17.7,22.1,26.1,37.1,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
