Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_ALL,Prod_Merc_Positions_Short_ALL,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_ALL,M_Money_Positions_Short_ALL,M_Money_Positions_Spread_ALL,Other_Rept_Positions_Long_ALL,Other_Rept_Positions_Short_ALL,Other_Rept_Positions_Spread_ALL,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap_Positions_Short_Old,Swap_Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap_Positions_Short_Other,Swap_Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Othr,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Othr,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
GOLD - COMMODITY EXCHANGE INC.,201229,12/29/2020,088691,CMX ,01,088 ,556414,12327,117811,69183,270953,19773,159673,50678,29447,182139,22262,25146,497688,536070,58726,20344,556414,12327,117811,69183,270953,19773,159673,50678,29447,182139,22262,25146,497688,536070,58726,20344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4355,-309,-2566,807,-4781,1482,1479,608,1369,-9537,658,408,-4301,-2822,-54,-1533,100,2.2,21.2,12.4,48.7,3.6,28.7,9.1,5.3,32.7,4,4.5,89.4,96.3,10.6,3.7,100,2.2,21.2,12.4,48.7,3.6,28.7,9.1,5.3,32.7,4,4.5,89.4,96.3,10.6,3.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,10,19,17,29,20,86,17,25,123,32,42,276,149,335,10,19,17,29,20,86,17,25,123,32,42,276,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8,30.4,27.7,49.5,18.3,29.9,26.8,48.8,18.8,30.4,27.7,49.5,18.3,29.9,26.8,48.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201221,12/21/2020,088691,CMX ,01,088 ,560769,12636,120377,68376,275734,18291,158194,50070,28078,191676,21604,24738,501989,538892,58780,21877,560769,12636,120377,68376,275734,18291,158194,50070,28078,191676,21604,24738,501989,538892,58780,21877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,-1556,2083,-977,4141,100,6293,48,1225,2967,2600,650,8702,10847,1701,-444,100,2.3,21.5,12.2,49.2,3.3,28.2,8.9,5,34.2,3.9,4.4,89.5,96.1,10.5,3.9,100,2.3,21.5,12.2,49.2,3.3,28.2,8.9,5,34.2,3.9,4.4,89.5,96.1,10.5,3.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,12,20,16,31,22,87,19,30,120,34,39,276,158,339,12,20,16,31,22,87,19,30,120,34,39,276,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7,30.7,28,49.7,18.3,30.3,27.2,49,18.7,30.7,28,49.7,18.3,30.3,27.2,49,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201215,12/15/2020,088691,CMX ,01,088 ,550366,14192,118294,69353,271593,18191,151901,50022,26853,188709,19004,24088,493287,528045,57079,22321,550366,14192,118294,69353,271593,18191,151901,50022,26853,188709,19004,24088,493287,528045,57079,22321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,846,-1175,54,-1678,2712,573,4057,989,-442,-1718,-1014,-98,-481,2774,1327,-1928,100,2.6,21.5,12.6,49.3,3.3,27.6,9.1,4.9,34.3,3.5,4.4,89.6,95.9,10.4,4.1,100,2.6,21.5,12.6,49.3,3.3,27.6,9.1,4.9,34.3,3.5,4.4,89.6,95.9,10.4,4.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,13,17,15,32,26,87,18,27,112,34,37,273,148,327,13,17,15,32,26,87,18,27,112,34,37,273,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,31.2,28.6,49.5,18.8,30.5,28,48.4,19,31.2,28.6,49.5,18.8,30.5,28,48.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201208,12/8/2020,088691,CMX ,01,088 ,549520,15367,118240,71031,268881,17618,147844,49033,27295,190427,20018,24186,493768,525271,55752,24249,549520,15367,118240,71031,268881,17618,147844,49033,27295,190427,20018,24186,493768,525271,55752,24249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11478,-3137,-1189,-2444,3068,-511,13398,130,3896,529,4891,-566,11165,9719,313,1759,100,2.8,21.5,12.9,48.9,3.2,26.9,8.9,5,34.7,3.6,4.4,89.9,95.6,10.1,4.4,100,2.8,21.5,12.9,48.9,3.2,26.9,8.9,5,34.7,3.6,4.4,89.9,95.6,10.1,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,13,17,15,31,25,85,20,26,111,36,36,269,149,327,13,17,15,31,25,85,20,26,111,36,36,269,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2,31.4,28.8,50.2,19,30.7,28.2,48.8,19.2,31.4,28.8,50.2,19,30.7,28.2,48.8,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201201,12/1/2020,088691,CMX ,01,088 ,538042,18504,119429,73475,265813,18129,134446,48903,23399,189898,15127,24752,482603,515552,55439,22490,538042,18504,119429,73475,265813,18129,134446,48903,23399,189898,15127,24752,482603,515552,55439,22490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17211,2079,7353,-1348,1812,752,-3057,-3252,-5549,7077,-9140,-7214,-7260,-15238,-9951,-1973,100,3.4,22.2,13.7,49.4,3.4,25,9.1,4.3,35.3,2.8,4.6,89.7,95.8,10.3,4.2,100,3.4,22.2,13.7,49.4,3.4,25,9.1,4.3,35.3,2.8,4.6,89.7,95.8,10.3,4.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,14,19,15,32,26,85,20,29,116,30,37,275,152,330,14,19,15,32,26,85,20,29,116,30,37,275,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,31.4,29.1,51.1,19.3,30.5,28.9,48.9,19.5,31.4,29.1,51.1,19.3,30.5,28.9,48.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201124,11/24/2020,088691,CMX ,01,088 ,555253,16425,112076,74823,264001,17377,137503,52155,28948,182821,24267,31966,489863,530790,65390,24463,555253,16425,112076,74823,264001,17377,137503,52155,28948,182821,24267,31966,489863,530790,65390,24463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2280,410,-1438,141,-7754,1393,-2047,3052,5393,-7327,-5058,-1332,-3369,-5744,1089,3464,100,3,20.2,13.5,47.5,3.1,24.8,9.4,5.2,32.9,4.4,5.8,88.2,95.6,11.8,4.4,100,3,20.2,13.5,47.5,3.1,24.8,9.4,5.2,32.9,4.4,5.8,88.2,95.6,11.8,4.4,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,17,19,16,30,24,84,28,31,106,32,49,272,171,331,17,19,16,30,24,84,28,31,106,32,49,272,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,29.2,27.6,47.2,18.2,28.9,27.3,44.9,18.3,29.2,27.6,47.2,18.2,28.9,27.3,44.9,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201117,11/17/2020,088691,CMX ,01,088 ,557533,16015,113514,74682,271755,15984,139550,49103,23555,190148,29325,33298,493232,536534,64301,20999,557533,16015,113514,74682,271755,15984,139550,49103,23555,190148,29325,33298,493232,536534,64301,20999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10084,29,4672,-1158,5348,-3332,9445,-1219,-604,1737,867,3913,10030,9645,54,439,100,2.9,20.4,13.4,48.7,2.9,25,8.8,4.2,34.1,5.3,6,88.5,96.2,11.5,3.8,100,2.9,20.4,13.4,48.7,2.9,25,8.8,4.2,34.1,5.3,6,88.5,96.2,11.5,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,17,22,17,29,23,95,25,30,116,33,47,293,169,355,17,22,17,29,23,95,25,30,116,33,47,293,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28.8,27.1,45.1,17.8,28.8,26.7,44.4,18,28.8,27.1,45.1,17.8,28.8,26.7,44.4,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201110,11/10/2020,088691,CMX ,01,088 ,547449,15986,108842,75840,266407,19316,130105,50322,24159,188411,28458,29385,483202,526889,64247,20560,547449,15986,108842,75840,266407,19316,130105,50322,24159,188411,28458,29385,483202,526889,64247,20560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2675,564,782,-1001,-7134,2900,-9989,923,3206,6707,-1032,2867,5254,2512,-2579,163,100,2.9,19.9,13.9,48.7,3.5,23.8,9.2,4.4,34.4,5.2,5.4,88.3,96.2,11.7,3.8,100,2.9,19.9,13.9,48.7,3.5,23.8,9.2,4.4,34.4,5.2,5.4,88.3,96.2,11.7,3.8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,17,22,17,29,23,92,30,36,121,37,44,298,174,362,17,22,17,29,23,92,30,36,121,37,44,298,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28.2,27.3,45,17.8,27.8,26.8,43.5,18,28.2,27.3,45,17.8,27.8,26.8,43.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201103,11/3/2020,088691,CMX ,01,088 ,544774,15422,108060,76841,273541,16416,140094,49399,20953,181704,29490,26518,477948,524377,66826,20397,544774,15422,108060,76841,273541,16416,140094,49399,20953,181704,29490,26518,477948,524377,66826,20397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16126,-1463,-2893,-1456,-7150,-2612,-9046,2134,-1152,4781,-674,-1226,-12174,-13573,-3952,-2553,100,2.8,19.8,14.1,50.2,3,25.7,9.1,3.8,33.4,5.4,4.9,87.7,96.3,12.3,3.7,100,2.8,19.8,14.1,50.2,3,25.7,9.1,3.8,33.4,5.4,4.9,87.7,96.3,12.3,3.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,16,23,17,28,21,92,28,30,115,32,44,288,164,350,16,23,17,28,21,92,28,30,115,32,44,288,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1,28.8,27.1,45.1,18,28.2,26.9,43.7,18.1,28.8,27.1,45.1,18,28.2,26.9,43.7,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
GOLD - COMMODITY EXCHANGE INC.,201027,10/27/2020,088691,CMX ,01,088 ,560900,16885,110953,78297,280691,19028,149140,47265,22105,176923,30164,27744,490122,537950,70778,22950,560900,16885,110953,78297,280691,19028,149140,47265,22105,176923,30164,27744,490122,537950,70778,22950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2093,579,-6961,-2237,7641,-1050,32,-11278,2377,-14175,-1895,7597,-6877,-3569,4784,1476,100,3,19.8,14,50,3.4,26.6,8.4,3.9,31.5,5.4,4.9,87.4,95.9,12.6,4.1,100,3,19.8,14,50,3.4,26.6,8.4,3.9,31.5,5.4,4.9,87.4,95.9,12.6,4.1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,16,22,18,29,23,99,23,33,116,36,42,300,164,360,16,22,18,29,23,99,23,33,116,36,42,300,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,27.9,26.2,44,17.5,27.7,26.1,42.5,17.6,27.9,26.2,44,17.5,27.7,26.1,42.5,0,0,0,0,0,0,0,0,(CONTRACTS OF 100 TROY OUNCES),N20,FutOnly
